,dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name,xs,l,w,h,lbs
915,1 x 3 x 7 inches,0.8 ounces,http://www.amazon.com/Camco-59903-Propane-Quick-Connect-Fitting/dp/B007HG7WUQ,16.1,57.0,Outdoor Recreation,Sports & Outdoors,2574.0,"Camco 59903 Propane Quick-Connect Fitting - 1/4"" NPT x Full Flow Male Plug",2,1,3,7,0.05
916,4.7 x 3.8 x 1.7 inches,1.6 ounces,http://www.amazon.com/Kovea-LPG-Adaptor-Small-Silver/dp/B00CFPISZW,22.15,101.0,Outdoor Recreation,Sports & Outdoors,8105.0,"Kovea LPG Adaptor, Small, Silver",2,4.7,3.8,1.7,0.1
1020,21 x 10 x 8 inches,1 pounds,http://www.amazon.com/Therm-a-Rest-RidgeRest-SOLite-Sleeping-Pad/dp/B004534DB0,19.95,239.0,Outdoor Recreation,Sports & Outdoors,2064.0,Therm-a-Rest RidgeRest SOLite Sleeping Pad,2,21,10,8,1.0
1033,4.5 x 4.2 x 4.2 inches,14.4 ounces,http://www.amazon.com/Smart-Air-Beds-Electrical-110-125v/dp/B003LIKRKQ,15.55,312.0,Outdoor Recreation,Sports & Outdoors,1137.0,"Smart Air Beds A/C Electrical Air Bed Pump (110-125v 60Hz, Black)",2,4.5,4.2,4.2,0.9
1037,17 x 7 x 3 inches,1 pounds,http://www.amazon.com/ALPS-Mountaineering-Compression-Sleeping-Stuff/dp/B006H1YL1U,16.02,431.0,Outdoor Recreation,Sports & Outdoors,626.0,ALPS Mountaineering Compression Sleeping Bag Stuff Sack,2,17,7,3,1.0
1055,21 x 7 x 5 inches,1 pounds,http://www.amazon.com/Therm-A-Rest-Z-Lite-SOL-Sleeping-Pad/dp/B0075JUVAI,34.95,197.0,Outdoor Recreation,Sports & Outdoors,3084.0,Therm-A-Rest Z-Lite SOL Sleeping Pad,2,21,7,5,1.0
1090,18 x 10 x 4 inches,12 ounces,http://www.amazon.com/Sports-Comfortlite-Inflating-Pillow-4-Inch/dp/B009L1MF7A,19.95,128.0,Outdoor Recreation,Sports & Outdoors,6531.0,"TETON Sports Comfortlite Self Inflating Pillow (18 x 10 x 4-Inch, Orange)",2,18,10,4,0.75
1105,20 x 5 x 12 inches,12 ounces,http://www.amazon.com/Summit-Outfitters-Lightweight-Compressible-Inflating/dp/B00ZGSSIU0,15.97,72.0,Outdoor Recreation,Sports & Outdoors,4828.0,"Summit Outfitters Airpak Pillow Lightweight Compressible Self Inflating Air Pillow (20""x12"") - Designed for Hammocks, Tent Camping, Hiking, Backpacking, Travel and Outdoor Festivals",2,20,5,12,0.75
1109,3.4 x 2.5 x 1.7 inches,5.8 ounces,http://www.amazon.com/Camco-59213-Disposable-Propane-Cylinder/dp/B00480BWA0,24.7,121.0,Outdoor Recreation,Sports & Outdoors,2418.0,Camco 59213 Disposable Propane Cylinder Adapter,2,3.4,2.5,1.7,0.3625
1116,3.4 x 2.6 x 1.7 inches,0.8 ounces,http://www.amazon.com/Camco-59853-Propane-Quick-Connect/dp/B007HG7TFO,19.3,55.0,Outdoor Recreation,Sports & Outdoors,2225.0,Camco 59853 Propane Quick Connect Kit - Valve & Full Flow Plug,2,3.4,2.6,1.7,0.05
1121,2.2 x 4.8 x 6.5 inches,12 ounces,http://www.amazon.com/Camco-59023-Propane-Gauge-Detector/dp/B00192JGY4,19.44,242.0,Outdoor Recreation,Sports & Outdoors,1190.0,Camco 59023 Propane Gauge/Leak Detector,2,2.2,4.8,6.5,0.75
1124,0.1 x 26.5 x 9.5 inches,12 ounces,http://www.amazon.com/Solo-Aluminum-Windscreen-Backpacking-Camping/dp/B00ASMLPPO,19.99,87.0,Outdoor Recreation,Sports & Outdoors,5996.0,"Solo Aluminum Windscreen: For Use with Solo Stove and Other Backpacking Stoves, Camping Stoves, Butane Stoves, Alcohol Stoves",2,0.1,26.5,9.5,0.75
1188,26 x 14 x 14 inches,1 pounds,http://www.amazon.com/Coleman-3000000-48-Quart-Cooler/dp/B002V9XV9K,21.99,180.0,Outdoor Recreation,Sports & Outdoors,1026.0,Coleman 48-Quart Cooler,2,26,14,14,1.0
1194,13 x 12 x 10 inches,1 pounds,http://www.amazon.com/Coleman-30-Can-Soft-Cooler-Liner/dp/B006HFBJMA,24.98,288.0,Outdoor Recreation,Sports & Outdoors,883.0,Coleman 30-Can Soft Cooler With Hard Liner,2,13,12,10,1.0
1198,15 x 6.5 x 1.1 inches,7.2 ounces,http://www.amazon.com/AQUATICWAY-Hydration-Reservoir-Bicycling-Insulated/dp/B010IS0OUE,16.95,27.0,Outdoor Recreation,Sports & Outdoors,4668.0,"AQUATICWAY Hydration Bladder Water Reservoir 2 Liter Bag for 2L Backpack System (Bicycling Camping Hiking). FDA Approved Non Toxic BPA Free Strong Material, Easy to Clean Large Opening, Quick Release Insulated Tube with Shutoff Valve. Stay Hydrated!",2,15,6.5,1.1,0.45
1299,9 x 5 x 3 inches,5.6 ounces,http://www.amazon.com/Platypus-Hoser-Hydration-System/dp/B0014BLUSU,15.93,257.0,Outdoor Recreation,Sports & Outdoors,1640.0,Platypus Hoser Hydration System,2,9,5,3,0.35
1332,9.4 x 3.1 x 6.7 inches,13.8 ounces,http://www.amazon.com/Mozone-Lightweight-Resistant-Backpack-foldable/dp/B00XCNO83M,22.89,71.0,Outdoor Recreation,Sports & Outdoors,2096.0,Mozone Large 40l Lightweight Travel Water Resistant Backpack/foldable & Packable Hiking Daypack,2,9.4,3.1,6.7,0.8625
